dataset,scenario,horizon,MAE,RMSE,SMAPE
disease,weather,1,13.968688011169434,16.985124588012695,40.7054328918457
disease,weather,3,18.441221237182617,21.342092514038086,49.05579376220703
disease,weather_lag3,1,15.186128616333008,18.232145309448242,45.18084716796875
disease,weather_lag3,3,16.498254776000977,19.71265411376953,44.29528045654297
pest,weather,1,40.33325958251953,48.90237808227539,37.58413314819336
pest,weather,3,51.45755386352539,61.92727279663086,47.350486755371094
pest,weather_lag3,1,48.63804244995117,59.79087448120117,44.517189025878906
pest,weather_lag3,3,56.8761100769043,67.21578979492188,54.06671142578125
