y_pred,y_true,abs_error,squared_error,smape,dataset,scenario,horizon
18.362726,-1.2389615e-06,18.362728,337.1898,200.0,disease,weather,1
18.234186,44.0,25.765814,663.87714,82.802765,disease,weather,1
22.587934,44.0,21.412066,458.47656,64.31215,disease,weather,1
24.95965,31.0,6.04035,36.48583,21.588234,disease,weather,1
22.287743,26.999998,4.7122555,22.20535,19.12141,disease,weather,1
16.573788,50.0,33.426212,1117.3116,100.41853,disease,weather,1
20.821526,39.0,18.178474,330.45694,60.775696,disease,weather,1
24.225817,-1.2389615e-06,24.225819,586.89026,200.0,disease,weather,1
21.369022,-1.2389615e-06,21.369024,456.6352,200.0,disease,weather,1
18.877802,33.0,14.122198,199.43648,54.44409,disease,weather,1
22.225504,38.0,15.774496,248.83473,52.38477,disease,weather,1
25.254978,31.0,5.745022,33.005276,20.424936,disease,weather,1
26.293224,34.0,7.7067757,59.39439,25.56432,disease,weather,1
26.037289,20.0,6.0372887,36.448853,26.22782,disease,weather,1
23.56439,21.0,2.5643902,6.576097,11.508696,disease,weather,1
22.842138,37.0,14.157862,200.44505,47.317364,disease,weather,1
24.684973,21.999998,2.6849747,7.209089,11.502523,disease,weather,1
22.356272,46.0,23.643728,559.0259,69.17794,disease,weather,1
26.487406,26.0,0.48740578,0.23756438,1.8572295,disease,weather,1
20.301159,31.0,10.698841,114.4652,41.709938,disease,weather,1
21.262934,32.0,10.737066,115.28459,40.31722,disease,weather,1
24.56075,23.0,1.560749,2.4359376,6.5631814,disease,weather,1
26.79042,23.0,3.7904205,14.367288,15.225501,disease,weather,1
26.49815,32.0,5.50185,30.270355,18.810339,disease,weather,1
28.044474,30.0,1.9555264,3.8240833,6.738028,disease,weather,1
28.329895,26.999998,1.3298969,1.7686259,4.807155,disease,weather,1
29.216017,26.999998,2.2160187,4.910739,7.8839407,disease,weather,1
30.918592,36.0,5.0814075,25.820704,15.186832,disease,weather,1
35.662685,33.0,2.6626854,7.0898933,7.7558436,disease,weather,1
35.243103,39.0,3.756897,14.114275,10.120528,disease,weather,1
35.554825,37.0,1.4451752,2.0885313,3.9836776,disease,weather,1
36.619877,44.0,7.380123,54.466217,18.308445,disease,weather,1
38.273087,27.999998,10.273088,105.53635,31.002295,disease,weather,1
31.051134,32.0,0.9488659,0.90034646,3.0098298,disease,weather,1
31.767105,34.0,2.232895,4.98582,6.7903094,disease,weather,1
37.784496,26.999998,10.784498,116.305405,33.293457,disease,weather,1
33.092346,25.0,8.092346,65.48607,27.860283,disease,weather,1
29.667051,59.0,29.332949,860.4219,66.16425,disease,weather,1
34.715218,56.0,21.284782,453.04196,46.926598,disease,weather,1
43.766235,39.0,4.7662354,22.717,11.517343,disease,weather,1
50.104588,40.0,10.104588,102.10269,22.428577,disease,weather,1
50.90978,42.0,8.909779,79.384155,19.179422,disease,weather,1
47.45417,49.0,1.5458298,2.3895898,3.2053146,disease,weather,1
44.042656,41.0,3.042656,9.257755,7.1555996,disease,weather,1
39.219078,31.0,8.219078,67.553246,23.409815,disease,weather,1
34.099545,36.0,1.9004555,3.611731,5.422162,disease,weather,1
29.080952,48.0,18.919048,357.9304,49.08878,disease,weather,1
38.913284,48.0,9.086716,82.568405,20.909843,disease,weather,1
45.752033,65.0,19.247967,370.48422,34.75867,disease,weather,1
