dataset,scenario,horizon,MAE,RMSE,SMAPE
disease,weather,1,10.80908489227295,13.73253059387207,31.29831886291504
disease,weather,3,13.675638198852539,16.96371078491211,36.525089263916016
disease,weather_lag3,1,10.849218368530273,13.75506591796875,31.400035858154297
disease,weather_lag3,3,13.67126178741455,16.961427688598633,36.52760696411133
pest,weather,1,35.4560432434082,43.855342864990234,32.66325378417969
pest,weather,3,44.54402542114258,53.81281280517578,39.06768035888672
pest,weather_lag3,1,35.59127426147461,43.91789627075195,32.71676254272461
pest,weather_lag3,3,44.45415115356445,53.85323715209961,39.00339126586914
