dataset,scenario,horizon,MAE,RMSE,SMAPE
disease,weather,1,15.383705139160156,18.54534912109375,42.60248947143555
disease,weather,3,16.983430862426758,20.76559066772461,46.14848327636719
disease,weather_lag3,1,14.051872253417969,17.618244171142578,39.51652526855469
disease,weather_lag3,3,18.01831817626953,21.241191864013672,48.67112350463867
pest,weather,1,40.962371826171875,51.20835876464844,37.59771728515625
pest,weather,3,51.38575744628906,64.32435607910156,46.41176986694336
pest,weather_lag3,1,42.98474884033203,52.314369201660156,37.601173400878906
pest,weather_lag3,3,51.10107421875,62.57732391357422,44.75574493408203
