dataset,scenario,horizon,MAE,RMSE,SMAPE
disease,weather,1,15.297860145568848,18.704986572265625,42.54111099243164
disease,weather,3,18.27796745300293,21.825658798217773,53.62494659423828
disease,weather_lag3,1,16.192956924438477,19.059772491455078,44.26395034790039
disease,weather_lag3,3,19.758663177490234,22.937435150146484,55.36482238769531
pest,weather,1,44.250038146972656,55.05949783325195,41.98659896850586
pest,weather,3,57.17063522338867,69.26371002197266,49.61488723754883
pest,weather_lag3,1,42.7032470703125,52.145668029785156,38.42526626586914
pest,weather_lag3,3,53.51603317260742,64.0245132446289,49.86598205566406
