dataset,scenario,horizon,MAE,RMSE,SMAPE
disease,weather,1,16.986757278442383,20.31183624267578,44.51488494873047
disease,weather,3,19.905309677124023,23.162202835083008,55.083309173583984
disease,weather_lag3,1,16.524497985839844,19.65660285949707,44.975791931152344
disease,weather_lag3,3,19.06915283203125,22.565336227416992,53.35437774658203
pest,weather,1,54.75532150268555,64.98175811767578,50.41413497924805
pest,weather,3,59.30706024169922,68.59412384033203,50.17980194091797
pest,weather_lag3,1,58.97806167602539,70.07369995117188,50.88242721557617
pest,weather_lag3,3,60.73089599609375,72.42064666748047,53.36061096191406
