dataset,scenario,horizon,MAE,RMSE,SMAPE
disease,weather,1,12.10826301574707,14.86349868774414,35.29052734375
disease,weather,3,15.110411643981934,18.16453742980957,41.07143020629883
disease,weather_lag3,1,12.480127334594727,15.2050199508667,35.86137771606445
disease,weather_lag3,3,14.632927894592285,17.609302520751953,39.47330856323242
pest,weather,1,37.2733154296875,46.49457931518555,33.24498748779297
pest,weather,3,47.365116119384766,56.741641998291016,44.146305084228516
pest,weather_lag3,1,37.98149490356445,47.274234771728516,34.34991455078125
pest,weather_lag3,3,46.30202102661133,55.826847076416016,43.115440368652344
