y_pred,y_true,abs_error,squared_error,smape,dataset,scenario,horizon
15.644279,2.9999988,12.6442795,159.8778,135.6371,disease,weather,1
15.458791,-1.2389615e-06,15.458792,238.97424,200.0,disease,weather,1
9.651111,44.0,34.34889,1179.8462,128.0454,disease,weather,1
24.373009,44.0,19.626991,385.21878,57.411514,disease,weather,1
33.957527,31.0,2.9575272,8.746967,9.106034,disease,weather,1
29.481367,26.999998,2.481369,6.157192,8.786506,disease,weather,1
27.45063,50.0,22.54937,508.4741,58.22902,disease,weather,1
43.33272,39.0,4.3327217,18.772478,10.524908,disease,weather,1
33.527348,-1.2389615e-06,33.527348,1124.083,200.0,disease,weather,1
14.509707,-1.2389615e-06,14.509708,210.53163,200.0,disease,weather,1
18.145983,33.0,14.854017,220.64183,58.084785,disease,weather,1
25.820757,38.0,12.179243,148.33397,38.16703,disease,weather,1
26.105997,31.0,4.894003,23.951265,17.140066,disease,weather,1
29.946032,34.0,4.0539684,16.43466,12.679343,disease,weather,1
23.521322,20.0,3.5213223,12.399711,16.182055,disease,weather,1
22.137531,21.0,1.1375313,1.2939774,5.273975,disease,weather,1
26.75493,37.0,10.2450695,104.96145,32.138912,disease,weather,1
33.663593,21.999998,11.663595,136.03946,41.907448,disease,weather,1
25.152609,46.0,20.847391,434.6137,58.59909,disease,weather,1
37.080177,26.0,11.080177,122.77033,35.130455,disease,weather,1
27.122858,31.0,3.877142,15.032229,13.341196,disease,weather,1
33.821033,32.0,1.8210335,3.3161628,5.5332875,disease,weather,1
27.36069,23.0,4.360689,19.01561,17.31783,disease,weather,1
27.412033,23.0,4.412033,19.466036,17.50389,disease,weather,1
33.18581,32.0,1.1858101,1.4061456,3.6382463,disease,weather,1
33.850082,30.0,3.8500824,14.823134,12.059757,disease,weather,1
35.05242,26.999998,8.0524235,64.84152,25.953615,disease,weather,1
30.452532,26.999998,3.4525337,11.919989,12.018735,disease,weather,1
32.709988,36.0,3.2900124,10.824182,9.576518,disease,weather,1
32.693665,33.0,0.30633545,0.0938414,0.93261796,disease,weather,1
32.592937,39.0,6.4070625,41.05045,17.898588,disease,weather,1
37.968792,37.0,0.96879196,0.93855786,2.5845206,disease,weather,1
37.49339,44.0,6.506611,42.335983,15.968437,disease,weather,1
38.90037,27.999998,10.900373,118.81814,32.586887,disease,weather,1
34.934544,32.0,2.9345436,8.6115465,8.768398,disease,weather,1
38.36402,34.0,4.3640213,19.044682,12.061301,disease,weather,1
35.615185,26.999998,8.615187,74.22144,27.517885,disease,weather,1
34.81368,25.0,9.813679,96.30829,32.814163,disease,weather,1
36.870262,59.0,22.129738,489.7253,46.16601,disease,weather,1
43.128548,56.0,12.871452,165.67429,25.969213,disease,weather,1
42.38083,39.0,3.3808289,11.430004,8.308661,disease,weather,1
43.510197,40.0,3.5101967,12.321481,8.4066305,disease,weather,1
41.994713,42.0,0.0052871704,2.7954171e-05,0.012589294,disease,weather,1
41.18574,49.0,7.8142586,61.062637,17.329254,disease,weather,1
40.397953,41.0,0.60204697,0.36246055,1.4792682,disease,weather,1
