dataset,scenario,horizon,MAE,RMSE,SMAPE
disease,weather,1,12.039469718933105,15.18517017364502,32.96969223022461
disease,weather,3,14.88930892944336,18.140920639038086,38.68739318847656
disease,weather_lag3,1,12.333670616149902,15.384105682373047,34.65324783325195
disease,weather_lag3,3,14.247406005859375,17.47943687438965,37.84480667114258
pest,weather,1,38.63212966918945,49.48247528076172,36.077735900878906
pest,weather,3,46.66642761230469,56.474754333496094,40.80274963378906
pest,weather_lag3,1,36.30647659301758,45.6176872253418,32.6174201965332
pest,weather_lag3,3,45.14359664916992,56.21293258666992,39.62029266357422
