dataset,scenario,horizon,MAE,RMSE,SMAPE
disease,weather,1,11.007488250732422,13.869999885559082,31.61624526977539
disease,weather,3,13.66260814666748,16.96084213256836,36.49575424194336
disease,weather_lag3,1,10.86889362335205,13.756333351135254,31.446186065673828
disease,weather_lag3,3,13.642035484313965,16.95130729675293,36.43289566040039
pest,weather,1,35.51509475708008,43.792110443115234,32.698509216308594
pest,weather,3,44.786624908447266,54.18992614746094,39.261287689208984
pest,weather_lag3,1,35.56663131713867,43.781742095947266,32.73495864868164
pest,weather_lag3,3,44.76206970214844,54.130638122558594,39.24321365356445
